time_s,tag_id,angle_raw_deg,angle_zeroed_deg
1779320559.091900,7,-33.2694,56.5581
1779320559.091900,12,177.7803,-1.7719
1779320559.226205,7,-32.8977,56.9298
1779320559.226205,12,178.0443,-1.5079
1779320559.358687,7,-33.1546,56.6729
1779320559.358687,12,178.0149,-1.5374
1779320559.492542,12,178.3591,-1.1932
1779320559.492542,7,-33.2033,56.6242
1779320559.625631,12,153.1520,-26.4003
1779320559.754182,12,137.6539,-41.8984
1779320559.754182,7,-48.4567,41.3708
1779320559.855701,12,132.0535,-47.4988
1779320559.855701,7,-52.9437,36.8837
1779320559.958307,7,-54.0125,35.8149
1779320559.958307,12,129.7639,-49.7884
1779320560.091543,7,-54.2138,35.6137
1779320560.091543,12,128.5577,-50.9945
1779320560.225103,12,128.1985,-51.3537
1779320560.225103,7,-54.3912,35.4362
1779320560.356740,12,128.1033,-51.4490
1779320560.356740,7,-54.6185,35.2089
1779320560.491535,12,128.1003,-51.4519
1779320560.491535,7,-54.6298,35.1977
1779320560.625123,12,152.4471,-27.1052
1779320560.756774,7,-31.4098,58.4177
1779320560.756774,12,170.6198,-8.9325
1779320560.891800,7,-32.7173,57.1101
1779320560.891800,12,175.8384,-3.7139
1779320561.022895,7,-33.0648,56.7626
1779320561.022895,12,177.4694,-2.0829
1779320561.157960,7,-33.1604,56.6671
1779320561.157960,12,177.9778,-1.5745
1779320561.293349,7,-33.1062,56.7212
1779320561.293349,12,178.0830,-1.4693
1779320561.425568,7,-33.1375,56.6899
1779320561.425568,12,178.1449,-1.4074
1779320561.691935,12,144.8654,-34.6869
1779320561.691935,7,-43.3634,46.4640
1779320561.825251,7,-51.5282,38.2992
1779320561.825251,12,133.3789,-46.1733
1779320561.957620,12,129.8104,-49.7418
1779320561.957620,7,-53.7661,36.0613
1779320562.076976,12,128.6339,-50.9183
1779320562.076976,7,-54.1018,35.7257
1779320562.208041,12,128.1711,-51.3812
1779320562.208041,7,-54.3659,35.4616
1779320562.341137,12,128.1238,-51.4285
1779320562.341137,7,-54.5504,35.2771
1779320562.475320,12,128.0539,-51.4984
1779320562.475320,7,-54.5498,35.2776
1779320562.601483,12,161.0420,-18.5102
1779320562.601483,7,-29.7772,60.0503
1779320562.733496,7,-31.8408,57.9867
1779320562.733496,12,172.9063,-6.6460
1779320562.836164,7,-32.7097,57.1178
1779320562.836164,12,175.7205,-3.8318
1779320562.970606,7,-32.9967,56.8307
1779320562.970606,12,177.4209,-2.1314
1779320563.102726,7,-33.2679,56.5596
1779320563.102726,12,177.8065,-1.7458
1779320563.234289,7,-33.1535,56.6740
1779320563.234289,12,177.9319,-1.6204
1779320563.365045,7,-33.2102,56.6173
1779320563.365045,12,178.0100,-1.5423
1779320563.633471,12,145.0506,-34.5017
1779320563.769052,12,133.4265,-46.1257
1779320563.769052,7,-51.7489,38.0786
1779320563.901648,12,129.8917,-49.6606
1779320563.901648,7,-53.5932,36.2343
1779320564.034589,12,128.5268,-51.0255
1779320564.034589,7,-54.0745,35.7529
1779320564.168367,12,128.1228,-51.4295
1779320564.168367,7,-54.2873,35.5402
1779320564.300672,12,128.0651,-51.4872
1779320564.300672,7,-54.5271,35.3004
1779320564.433969,12,127.9894,-51.5628
1779320564.433969,7,-54.5140,35.3134
